Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
98,Donovan Clingan,21,POR,C,72,72,27.2,4.6,8.9,.520,1.0,3.1,.330,3.6,5.8,.623,.578,1.8,2.7,.673,4.5,7.1,11.6,2.1,0.6,1.7,1.3,2.3,12.1,,clingdo01
99,Duncan Robinson,31,DET,SF,72,72,27.6,4.0,9.0,.447,2.9,7.0,.407,1.2,2.0,.586,.605,1.1,1.4,.755,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,12.0,,robindu01
100,Maxime Raynaud,22,SAC,C,69,51,26.1,5.0,8.8,.565,0.3,0.9,.302,4.7,7.9,.595,.580,1.7,2.1,.782,1.9,5.4,7.3,1.3,0.5,0.5,1.2,2.4,11.9,,raynama01
101,Myles Turner,29,MIL,C,68,68,27.1,4.0,9.1,.439,2.1,5.5,.387,1.9,3.6,.516,.555,1.8,2.5,.743,1.0,4.3,5.3,1.5,0.7,1.6,1.2,2.6,11.9,,turnemy01
102,Dyson Daniels,22,ATL,SG,72,72,33.2,5.3,10.2,.518,0.3,1.5,.176,5.0,8.7,.577,.531,1.0,1.6,.623,2.4,4.4,6.8,5.9,1.9,0.4,1.8,2.1,11.9,,daniedy01
103,Wendell Carter Jr.,26,ORL,C,72,72,29.5,4.2,8.2,.513,1.0,3.0,.319,3.3,5.2,.623,.571,2.4,3.0,.798,2.1,5.4,7.5,2.0,0.8,0.6,1.3,3.4,11.8,,cartewe01
104,Nic Claxton,26,BRK,C,68,67,27.9,4.8,8.4,.569,0.0,0.3,.167,4.8,8.2,.582,.572,2.0,3.3,.612,2.5,4.5,7.0,3.7,0.7,1.1,1.4,2.3,11.7,,claxtni01
105,Klay Thompson,35,DAL,SF,65,8,21.8,4.1,10.5,.393,2.9,7.6,.386,1.2,2.9,.410,.532,0.5,0.7,.756,0.3,1.9,2.1,1.4,0.5,0.3,0.9,1.0,11.7,,thompkl01
106,Isaiah Collier,21,UTA,PG,59,19,25.7,4.3,8.7,.495,0.5,1.7,.270,3.9,7.0,.549,.521,2.6,3.5,.722,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.7,,colliis01
107,Dylan Harper,19,SAS,SG,63,2,22.3,4.7,9.4,.500,0.8,2.6,.321,3.9,6.8,.569,.545,1.3,1.8,.748,0.7,2.6,3.4,3.9,0.8,0.3,1.4,2.0,11.6,,harpedy01
